Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions
GL50581_2589,GL50581_2589-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,2586,287195,N/A,0,N/A
GL50581_259,GL50581_259-t26_1,Giardia Assemblage B isolate GS,Pept_C1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LNF6],456,50633,Papain-like cysteine peptidase superfamily,1,cysteine-type peptidase activity
GL50581_2590,GL50581_2590-t26_1,Giardia Assemblage B isolate GS,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LUY8],216,24340,Ankyrin repeat-containing domain superfamily,0,N/A
GL50581_2591,GL50581_2591-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,170,19504,N/A,0,N/A
GL50581_2592,GL50581_2592-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,427,46986,N/A,0,N/A
GL50581_2593,GL50581_2593-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LUZ1],505,56532,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_2594,GL50581_2594-t26_1,Giardia Assemblage B isolate GS,Rho GDI [Source:UniProtKB/TrEMBL;Acc:C6LUZ2],202,22276,Immunoglobulin E-set,0,Rho GDP-dissociation inhibitor activity
GL50581_2595,GL50581_2595-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,167,19557,N/A,0,N/A
GL50581_2596,GL50581_2596-t26_1,Giardia Assemblage B isolate GS,Aa_trans domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LUZ4],439,48703,N/A,10,N/A
GL50581_2597,GL50581_2597-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LUZ5],805,89719,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2598,GL50581_2598-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LUZ6],1108,122878,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2599,GL50581_2599-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,300,34863,N/A,0,N/A
GL50581_26,GL50581_26-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,424,48248,N/A,0,N/A
GL50581_260,GL50581_260-t26_1,Giardia Assemblage B isolate GS,40S ribosomal protein S8 [Source:UniProtKB/TrEMBL;Acc:C6LNF7],173,19299,N/A,0,structural constituent of ribosome
GL50581_2600,GL50581_2600-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,813,90491,N/A,0,N/A
GL50581_2601,GL50581_2601-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LUZ9]",829,91661,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_2602,GL50581_2602-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,160,17453,N/A,0,N/A
GL50581_2603,GL50581_2603-t26_1,Giardia Assemblage B isolate GS,Tubulin--tyrosine ligase-like protein 9 [Source:UniProtKB/TrEMBL;Acc:C6LV01],417,48149,N/A,0,ATP binding;ligase activity
GL50581_2604,GL50581_2604-t26_1,Giardia Assemblage B isolate GS,VSP [Source:UniProtKB/TrEMBL;Acc:C6LV02],413,41517,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50581_2605,GL50581_2605-t26_1,Giardia Assemblage B isolate GS,Glutaminyl-tRNA synthetase [Source:UniProtKB/TrEMBL;Acc:C6LV03],763,87692,"Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain superfamily",0,ATP binding;aminoacyl-tRNA ligase activity;glutamine-tRNA ligase activity;nucleotide binding
GL50581_2606,GL50581_2606-t26_1,Giardia Assemblage B isolate GS,AMMECR1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV04],195,21608,AMMECR1 domain superfamily,0,N/A
GL50581_2607,GL50581_2607-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,182,20687,N/A,0,N/A
GL50581_2608,GL50581_2608-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,211,24558,"GINS, helical bundle-like domain superfamily",0,N/A
GL50581_2609,GL50581_2609-t26_1,Giardia Assemblage B isolate GS,Peptidase_M16 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV07],405,43971,"Metalloenzyme, LuxS/M16 peptidase-like",0,metal ion binding
GL50581_261,GL50581_261-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,831,93886,PIN-like domain superfamily,0,N/A
GL50581_2610,GL50581_2610-t26_1,Giardia Assemblage B isolate GS,V-ATPase_H_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV08],530,59454,Armadillo-type fold,0,"proton-transporting ATPase activity, rotational mechanism"
GL50581_2611,GL50581_2611-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,90,9943,Histone-fold,0,protein heterodimerization activity
GL50581_2612,GL50581_2612-t26_1,Giardia Assemblage B isolate GS,MORN repeat-containing protein 5 [Source:UniProtKB/TrEMBL;Acc:C6LV10],135,15068,N/A,0,N/A
GL50581_2613,GL50581_2613-t26_1,Giardia Assemblage B isolate GS,Lactamase_B domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV11],269,30021,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like,0,N/A
GL50581_2614,GL50581_2614-t26_1,Giardia Assemblage B isolate GS,Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV12],1198,132344,P-loop containing nucleoside triphosphate hydrolase;EF-G domain III/V-like,0,GTP binding;GTPase activity;translation elongation factor activity
GL50581_2615,GL50581_2615-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,334,37758,N/A,0,N/A
GL50581_2616,GL50581_2616-t26_1,Giardia Assemblage B isolate GS,Spindle pole body component [Source:UniProtKB/TrEMBL;Acc:C6LV14],900,101727,N/A,0,gamma-tubulin binding
GL50581_2617,GL50581_2617-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,475,54537,N/A,0,N/A
GL50581_2618,GL50581_2618-t26_1,Giardia Assemblage B isolate GS,BRCA-2_OB1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV16],1074,119500,"Nucleic acid-binding, OB-fold",0,N/A
GL50581_2619,GL50581_2619-t26_1,Giardia Assemblage B isolate GS,Brix domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV17],352,39727,N/A,0,N/A
GL50581_262,GL50581_262-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,286,32221,N/A,5,N/A
GL50581_2620,GL50581_2620-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,40,4572,N/A,0,N/A
GL50581_2621,GL50581_2621-t26_1,Giardia Assemblage B isolate GS,PA28_beta domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV19],267,30887,Proteasome activator superfamily,0,N/A
GL50581_2622,GL50581_2622-t26_1,Giardia Assemblage B isolate GS,Variant-specific surface protein [Source:UniProtKB/TrEMBL;Acc:C6LV20],414,43681,Growth factor receptor cysteine-rich domain superfamily,0,N/A
GL50581_2623,GL50581_2623-t26_1,Giardia Assemblage B isolate GS,Rab2a [Source:UniProtKB/TrEMBL;Acc:C6LV21],214,23807,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50581_2624,GL50581_2624-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,547,62231,Glycoside hydrolase superfamily,0,N/A
GL50581_2625,GL50581_2625-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,316,34215,N/A,0,N/A
GL50581_2626,GL50581_2626-t26_1,Giardia Assemblage B isolate GS,"RAD50 DNA repair protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LV24]",1383,155130,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP hydrolysis activity
GL50581_2627,GL50581_2627-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,526,59302,N/A,0,N/A
GL50581_2628,GL50581_2628-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,279,30257,N/A,0,N/A
GL50581_2629,GL50581_2629-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,540,61462,P-loop containing nucleoside triphosphate hydrolase,0,N/A
GL50581_263,GL50581_263-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,927,103000,N/A,0,N/A
GL50581_2630,GL50581_2630-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,254,29448,N/A,0,"ATP binding;inositol tetrakisphosphate 1-kinase activity;inositol-1,3,4-trisphosphate 5-kinase activity;inositol-1,3,4-trisphosphate 6-kinase activity;magnesium ion binding"
GL50581_2631,GL50581_2631-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1305,143973,N/A,0,N/A
GL50581_2632,GL50581_2632-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV30],552,61537,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2633,GL50581_2633-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LV31]",1110,123451,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_2634,GL50581_2634-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,350,38991,Tetratricopeptide-like helical domain superfamily,0,protein binding
GL50581_2635,GL50581_2635-t26_1,Giardia Assemblage B isolate GS,Trimethylguanosine synthase [Source:UniProtKB/TrEMBL;Acc:C6LV33],243,27428,S-adenosyl-L-methionine-dependent methyltransferase,0,methyltransferase activity
GL50581_2636,GL50581_2636-t26_1,Giardia Assemblage B isolate GS,HMG box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV34],203,23894,High mobility group box domain superfamily,0,DNA binding
GL50581_2637,GL50581_2637-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV35],350,39907,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_2638,GL50581_2638-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LV36],1307,145387,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2639,GL50581_2639-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,198,21786,N/A,0,N/A
GL50581_264,GL50581_264-t26_1,Giardia Assemblage B isolate GS,"Hydrolase, haloacid dehalogenase-like family [Source:UniProtKB/TrEMBL;Acc:C6LNG1]",222,24798,HAD-like superfamily,0,hydrolase activity
GL50581_2640,GL50581_2640-t26_1,Giardia Assemblage B isolate GS,TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV38],474,52901,Tetratricopeptide-like helical domain superfamily,0,protein binding
GL50581_2641,GL50581_2641-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,198,22383,RNA-binding domain superfamily,0,nucleic acid binding
GL50581_2642,GL50581_2642-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,373,40852,Kelch-type beta propeller,0,protein binding
GL50581_2643,GL50581_2643-t26_1,Giardia Assemblage B isolate GS,Pyruvate kinase [Source:UniProtKB/TrEMBL;Acc:C6LV41],652,70489,"Pyruvate kinase-like, insert domain superfamily;Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;Pyruvate kinase, C-terminal domain superfamily",0,ATP binding;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity
GL50581_2644,GL50581_2644-t26_1,Giardia Assemblage B isolate GS,DinF protein [Source:UniProtKB/TrEMBL;Acc:C6LV44],607,66924,N/A,11,antiporter activity;xenobiotic transmembrane transporter activity
GL50581_2646,GL50581_2646-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LV45]",858,93819,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_2647,GL50581_2647-t26_1,Giardia Assemblage B isolate GS,ZipA,604,66621,N/A,0,N/A
GL50581_2648,GL50581_2648-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,170,19369,EF-hand domain pair,0,N/A
GL50581_2649,GL50581_2649-t26_1,Giardia Assemblage B isolate GS,Phosphatidate cytidylyltransferase [Source:UniProtKB/TrEMBL;Acc:C6LV48],376,42546,N/A,8,phosphatidate cytidylyltransferase activity
GL50581_265,GL50581_265-t26_1,Giardia Assemblage B isolate GS,Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LNG2],184,20806,Thioredoxin-like superfamily,0,N/A
GL50581_2650,GL50581_2650-t26_1,Giardia Assemblage B isolate GS,ATP-dependent RNA helicase [Source:UniProtKB/TrEMBL;Acc:C6LV42],559,63189,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;helicase activity;nucleic acid binding
GL50581_2651,GL50581_2651-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,206,22860,N/A,0,N/A
GL50581_2652,GL50581_2652-t26_1,Giardia Assemblage B isolate GS,CTP synthase [Source:UniProtKB/TrEMBL;Acc:C6LV49],890,99265,Class I glutamine amidotransferase-like;P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;CTP synthase activity;lyase activity
GL50581_2653,GL50581_2653-t26_1,Giardia Assemblage B isolate GS,GOLD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV50],194,21689,N/A,1,N/A
GL50581_2654,GL50581_2654-t26_1,Giardia Assemblage B isolate GS,USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV51],429,47936,Papain-like cysteine peptidase superfamily,0,thiol-dependent deubiquitinase
GL50581_2655,GL50581_2655-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,401,45762,N/A,0,N/A
GL50581_2656,GL50581_2656-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1856,205347,N/A,0,N/A
GL50581_2657,GL50581_2657-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1056,120396,N/A,0,N/A
GL50581_2658,GL50581_2658-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1779,198159,N/A,0,N/A
GL50581_2659,GL50581_2659-t26_1,Giardia Assemblage B isolate GS,GARP-like protein 1 [Source:UniProtKB/TrEMBL;Acc:C6LV56],232,26322,Homeobox-like domain superfamily,0,N/A
GL50581_266,GL50581_266-t26_1,Giardia Assemblage B isolate GS,SBDS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LNG3],253,27352,"Ribosome maturation protein Sdo1/SBDS, central domain superfamily;Ribosome maturation protein SBDS, N-terminal domain superfamily",0,N/A
GL50581_2660,GL50581_2660-t26_1,Giardia Assemblage B isolate GS,DNA polymerase [Source:UniProtKB/TrEMBL;Acc:C6LV57],1728,195331,Ribonuclease H-like superfamily;DNA/RNA polymerase superfamily,0,DNA binding;DNA-directed DNA polymerase activity;nucleic acid binding;nucleotide binding
GL50581_2661,GL50581_2661-t26_1,Giardia Assemblage B isolate GS,TMP52 [Source:UniProtKB/TrEMBL;Acc:C6LV58],464,52119,N/A,1,N/A
GL50581_2663,GL50581_2663-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,896,98072,N/A,0,N/A
GL50581_2664,GL50581_2664-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,947,106091,N/A,0,N/A
GL50581_2665,GL50581_2665-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV61],300,33511,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_2666,GL50581_2666-t26_1,Giardia Assemblage B isolate GS,Dynein light chain [Source:UniProtKB/TrEMBL;Acc:C6LV62],170,19173,EF-hand domain pair,0,calcium ion binding
GL50581_2667,GL50581_2667-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,474,51564,N/A,1,N/A
GL50581_2668,GL50581_2668-t26_1,Giardia Assemblage B isolate GS,G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV64],496,55397,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50581_2669,GL50581_2669-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LV65],1226,134376,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_267,GL50581_267-t26_1,Giardia Assemblage B isolate GS,GlcNAc-1-P transferase [Source:UniProtKB/TrEMBL;Acc:C6LNG4],366,39779,N/A,8,UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity;glycosyltransferase activity;metal ion binding;phospho-N-acetylmuramoyl-pentapeptide-transferase activity
GL50581_2670,GL50581_2670-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,149,16830,N/A,0,N/A
GL50581_2671,GL50581_2671-t26_1,Giardia Assemblage B isolate GS,FOP_dimer domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV67],133,14673,N/A,0,N/A
GL50581_2672,GL50581_2672-t26_1,Giardia Assemblage B isolate GS,VSP [Source:UniProtKB/TrEMBL;Acc:C6LV68],410,42008,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50581_2673,GL50581_2673-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,263,28802,NAD(P)-binding domain superfamily,0,oxidoreductase activity
GL50581_2674,GL50581_2674-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,3608,404980,N/A,0,N/A
GL50581_2675,GL50581_2675-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,446,50889,N/A,0,N/A
GL50581_2676,GL50581_2676-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,140,15280,PDCD5-like superfamily,0,DNA binding
GL50581_2677,GL50581_2677-t26_1,Giardia Assemblage B isolate GS,Sm domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV73],66,7412,LSM domain superfamily,0,N/A
GL50581_2678,GL50581_2678-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,195,22211,RuvA domain 2-like,0,N/A
GL50581_2679,GL50581_2679-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,715,80363,N/A,0,N/A
GL50581_268,GL50581_268-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,624,68060,N/A,0,N/A
GL50581_2680,GL50581_2680-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,786,87815,N/A,0,N/A
GL50581_2681,GL50581_2681-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,2180,244859,Nucleotide cyclase,13,N/A
GL50581_2682,GL50581_2682-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,638,72095,N/A,0,N/A
GL50581_2683,GL50581_2683-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1760,196223,N/A,0,N/A
GL50581_2684,GL50581_2684-t26_1,Giardia Assemblage B isolate GS,DNA-directed RNA polymerase III subunit 22.9 kDa polypeptide [Source:UniProtKB/TrEMBL;Acc:C6LV80],214,23899,"RNA polymerase Rpb7-like, N-terminal domain superfamily",0,DNA-directed 5'-3' RNA polymerase activity
GL50581_2685,GL50581_2685-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,781,86457,Armadillo-type fold,0,RNA binding
GL50581_2686,GL50581_2686-t26_1,Giardia Assemblage B isolate GS,G2/mitotic-specific cyclin B [Source:UniProtKB/TrEMBL;Acc:C6LV82],341,39510,Cyclin-like superfamily,0,N/A
GL50581_2687,GL50581_2687-t26_1,Giardia Assemblage B isolate GS,UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV83],158,17738,Ubiquitin-conjugating enzyme/RWD-like,0,ATP binding;transferase activity
GL50581_2688,GL50581_2688-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,419,46073,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_2689,GL50581_2689-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,258,28663,Uracil-DNA glycosylase-like domain superfamily,0,"hydrolase activity, hydrolyzing N-glycosyl compounds;uracil DNA N-glycosylase activity"
GL50581_269,GL50581_269-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,366,40807,N/A,0,N/A
GL50581_2690,GL50581_2690-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,183,21052,N/A,0,N/A
GL50581_2691,GL50581_2691-t26_1,Giardia Assemblage B isolate GS,Dual specificity protein phosphatase 12 [Source:UniProtKB/TrEMBL;Acc:C6LV87],120,13109,N/A,0,N/A
GL50581_2692,GL50581_2692-t26_1,Giardia Assemblage B isolate GS,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV88],342,38214,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_2693,GL50581_2693-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,858,95581,Alpha/Beta hydrolase fold,0,O-acyltransferase activity
GL50581_2694,GL50581_2694-t26_1,Giardia Assemblage B isolate GS,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV90],402,45214,N/A,0,N/A
GL50581_2695,GL50581_2695-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LV91],1045,115136,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2696,GL50581_2696-t26_1,Giardia Assemblage B isolate GS,Oxidored_FMN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV92],429,47376,N/A,0,FMN binding;catalytic activity;oxidoreductase activity
GL50581_2697,GL50581_2697-t26_1,Giardia Assemblage B isolate GS,RAS-related [Source:UniProtKB/TrEMBL;Acc:C6LV93],223,24737,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50581_2698,GL50581_2698-t26_1,Giardia Assemblage B isolate GS,Adenylate kinase isoenzyme 6 homolog [Source:UniProtKB/TrEMBL;Acc:C6LV94],216,25361,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP hydrolysis activity;adenylate kinase activity
GL50581_2699,GL50581_2699-t26_1,Giardia Assemblage B isolate GS,ARID domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LV95],269,29819,ARID DNA-binding domain superfamily,0,DNA binding
GL50581_27,GL50581_27-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LMS9],942,104131,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,protein binding
GL50581_270,GL50581_270-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,87,10288,N/A,0,N/A
GL50581_2700,GL50581_2700-t26_1,Giardia Assemblage B isolate GS,DinF protein [Source:UniProtKB/TrEMBL;Acc:C6LV96],760,85504,N/A,12,N/A
GL50581_2701,GL50581_2701-t26_1,Giardia Assemblage B isolate GS,CAAX farnesyltransferase subunit beta [Source:UniProtKB/TrEMBL;Acc:C6LV97],404,45276,Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid,0,catalytic activity;metal ion binding;protein farnesyltransferase activity
GL50581_2702,GL50581_2702-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,603,66889,N/A,0,N/A
GL50581_2703,GL50581_2703-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LV99],518,57170,Ankyrin repeat-containing domain superfamily,0,N/A
GL50581_2704,GL50581_2704-t26_1,Giardia Assemblage B isolate GS,Thymus-specific serine protease [Source:UniProtKB/TrEMBL;Acc:C6LVA0],521,58234,Alpha/Beta hydrolase fold,0,serine-type peptidase activity
GL50581_2705,GL50581_2705-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,820,94663,N/A,8,N/A
GL50581_2706,GL50581_2706-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,265,29205,N/A,0,N/A
GL50581_2707,GL50581_2707-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LVA3],1517,164757,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2708,GL50581_2708-t26_1,Giardia Assemblage B isolate GS,Lactamase_B domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LVA4],224,24739,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like,0,hydrolase activity
GL50581_2709,GL50581_2709-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,128,14647,N/A,0,N/A
GL50581_271,GL50581_271-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,740,82160,N/A,0,N/A
GL50581_2710,GL50581_2710-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LVA6]",682,76427,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_2711,GL50581_2711-t26_1,Giardia Assemblage B isolate GS,Lysine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:C6LVA7],576,66357,"Nucleic acid-binding, OB-fold",0,ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleic acid binding;nucleotide binding
GL50581_2712,GL50581_2712-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LVA8],1335,148121,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2713,GL50581_2713-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LVA9]",638,71356,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_2714,GL50581_2714-t26_1,Giardia Assemblage B isolate GS,RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LVB0],600,65847,RNA-binding domain superfamily,0,nucleic acid binding
GL50581_2715,GL50581_2715-t26_1,Giardia Assemblage B isolate GS,Protein required for cell viability [Source:UniProtKB/TrEMBL;Acc:C6LVB1],746,85385,N/A,0,N/A
GL50581_2716,GL50581_2716-t26_1,Giardia Assemblage B isolate GS,Copine domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LVB2],262,29886,von Willebrand factor A-like domain superfamily,0,N/A
GL50581_2717,GL50581_2717-t26_1,Giardia Assemblage B isolate GS,Diadenosine tetraphosphate synthetase [Source:UniProtKB/TrEMBL;Acc:C6LVB3],621,69528,N/A,0,ATP binding;aminoacyl-tRNA ligase activity;glycine-tRNA ligase activity;nucleotide binding
GL50581_2718,GL50581_2718-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,387,43425,Oxysterol-binding protein superfamily,0,N/A
GL50581_2719,GL50581_2719-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,162,17948,N/A,0,N/A
GL50581_2720,GL50581_2720-t26_1,Giardia Assemblage B isolate GS,VSP [Source:UniProtKB/TrEMBL;Acc:C6LVB6],356,37680,Growth factor receptor cysteine-rich domain superfamily,0,N/A
GL50581_2721,GL50581_2721-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LVB7],789,87294,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_2722,GL50581_2722-t26_1,Giardia Assemblage B isolate GS,DUF3449 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LVB8],451,51593,Zinc finger C2H2 superfamily,0,RNA binding
